id,topic_name,source_lang,source_level,wish_correct_language_1,wish_correct_language_2,wish_correct_language_3,tags
1,Switchable tangible internet solution,Kyrgyz,A1,Telugu,Greek,,Managed regional architecture
2,Re-engineered client-server focus group,Latvian,C2,Aymara,,,Exclusive bottom-line migration
3,Decentralized heuristic utilisation,Lithuanian,C1,Spanish,West Frisian,Papiamento,Optional static protocol
4,Optional next generation open system,Māori,C2,Hiri Motu,Māori,,Exclusive composite budgetary management
5,Synergistic grid-enabled standardization,English,B1,Belarusian,Khmer,,Ameliorated directional budgetary management
6,Automated leading edge access,Kazakh,C1,Assamese,Albanian,Greek,Switchable optimizing strategy
7,Visionary content-based alliance,Catalan,A2,Azeri,Korean,,Mandatory directional Graphical User Interface
8,Universal systemic complexity,Lao,B1,Nepali,Malagasy,Romanian,Expanded radical utilisation
9,Public-key 6th generation software,Afrikaans,A2,Armenian,Georgian,Amharic,Reactive 24 hour utilisation
10,Self-enabling heuristic infrastructure,Malagasy,A2,Catalan,,Hiri Motu,Triple-buffered upward-trending software
11,Secured bi-directional function,Thai,A1,Dutch,Tswana,Kazakh,Enterprise-wide full-range info-mediaries
12,Assimilated bottom-line strategy,Norwegian,C1,Japanese,,,Phased secondary adapter
13,Seamless empowering task-force,Haitian Creole,C1,Bosnian,,Belarusian,Digitized demand-driven standardization
14,Operative neutral toolset,Kazakh,A2,West Frisian,,,Future-proofed zero defect architecture
15,Function-based user-facing attitude,Catalan,B2,Papiamento,Maltese,,Customizable homogeneous core
16,Grass-roots systematic knowledge user,Tajik,B1,Lithuanian,Icelandic,,Robust coherent utilisation
17,Fully-configurable fresh-thinking strategy,Kashmiri,C1,Swedish,Mongolian,,Monitored encompassing complexity
18,Adaptive dedicated firmware,Arabic,A1,Kashmiri,Czech,,Down-sized zero administration leverage
19,Universal 24/7 groupware,Kurdish,C1,Japanese,Haitian Creole,,Ameliorated human-resource info-mediaries
20,Customer-focused contextually-based concept,Afrikaans,C2,Kashmiri,Romanian,,Exclusive intermediate framework
21,Up-sized contextually-based software,Persian,A1,Zulu,,,Business-focused next generation attitude
22,Versatile bottom-line installation,Filipino,A1,Catalan,Irish Gaelic,,Persevering 5th generation artificial intelligence
23,Synergized asynchronous emulation,Lao,C2,Dari,Kurdish,,Profit-focused encompassing projection
24,Monitored modular open architecture,Greek,C1,Finnish,Armenian,New Zealand Sign Language,Streamlined content-based neural-net
25,Horizontal demand-driven alliance,Lithuanian,A1,Armenian,Haitian Creole,,Expanded holistic conglomeration
26,Pre-emptive needs-based installation,Spanish,C2,Haitian Creole,,,Function-based foreground strategy
27,Front-line object-oriented approach,Indonesian,C2,Punjabi,Yiddish,Sotho,Open-source client-server artificial intelligence
28,Balanced fresh-thinking matrices,Icelandic,C1,Papiamento,,,Decentralized uniform service-desk
29,Triple-buffered uniform superstructure,Lao,C2,Dutch,,Moldovan,Multi-lateral human-resource alliance
30,Programmable 24 hour encryption,Aymara,B1,English,,,Automated upward-trending function
31,Reverse-engineered well-modulated solution,Norwegian,B2,Tswana,Albanian,,Multi-channelled motivating capacity
32,Front-line national collaboration,Telugu,C2,Luxembourgish,Japanese,,Synchronised eco-centric paradigm
33,Organized optimal monitoring,Catalan,B1,Czech,Haitian Creole,Estonian,Reverse-engineered reciprocal definition
34,Phased foreground installation,Japanese,A1,Tok Pisin,Sotho,,Synchronised coherent definition
35,Grass-roots mission-critical function,Polish,A2,Arabic,Lao,,Organized grid-enabled capacity
36,User-friendly responsive collaboration,Belarusian,C1,Spanish,Swedish,,Synergized regional function
37,Operative heuristic capacity,Moldovan,C1,West Frisian,Quechua,,Right-sized client-driven local area network
